stock,buy_threshold,sell_threshold,lookback_period
CHOLAFIN,0.6,-0.8,8.0
INDUSINDB,0.3,-0.7,10.0
HINDPETRO,0.2,-0.3,5.0
JUBLFOOD,0.6,-0.6,6.0
ASHOKLEY,0.6,-0.2,5.0
JSWSTEEL,0.2,-0.7,7.0
BEL,0.2,-0.3,12.0
METROPOLI,0.7,-0.2,14.0
GNFC,0.2,-0.8,14.0
IBULHSGFI,0.2,-0.7,6.0
GUJGASLTD,0.8,-0.6,9.0
GAIL,0.3,-0.2,5.0
CANFINHOM,0.4,-0.6,12.0
BHARATFOR,0.4,-0.8,7.0
KOTAKBANK,0.6,-0.6,10.0
MM,0.8,-0.6,13.0
ICICIBANK,0.6,-0.5,10.0
ICICIPRUL,0.2,-0.8,5.0
BIOCON,0.3,-0.5,9.0
MMFIN,0.6,-0.2,14.0
BANDHANBN,0.3,-0.2,9.0
APOLLOTYR,0.2,-0.4,5.0
IPCALAB,0.6,-0.5,14.0
AXISBANK,0.3,-0.3,13.0
HAVELLS,0.7,-0.8,13.0
COALINDIA,0.2,-0.7,8.0
MANAPPURA,0.2,-0.7,5.0
PEL,0.7,-0.6,14.0
ASIANPAIN,0.2,-0.8,13.0
PVR,0.2,-0.8,13.0
CIPLA,0.6,-0.7,9.0
INDUSTOWE,0.4,-0.2,11.0
FSL,0.8,-0.2,5.0
BERGEPAIN,0.2,-0.7,10.0
MGL,0.6,-0.7,12.0
GLENMARK,0.3,-0.3,5.0
INDHOTEL,0.6,-0.5,5.0
IGL,0.5,-0.2,13.0
BALRAMCHI,0.8,-0.7,9.0
ADANIPORT,0.4,-0.4,13.0
HDFCLIFE,0.4,-0.5,9.0
DLF,0.3,-0.6,7.0
COROMANDE,0.8,-0.6,9.0
DABUR,0.4,-0.7,6.0
AUROPHARM,0.2,-0.3,13.0
HAL,0.3,-0.8,13.0
MCDOWELL-,0.8,-0.2,14.0
BPCL,0.2,-0.3,6.0
AUBANK,0.2,-0.8,5.0
LAURUSLAB,0.3,-0.3,14.0
